timestamp,value
2022-06-16,85525
2022-06-15,229401
2022-06-14,223864
2022-06-13,215302
2022-06-12,147019
2022-06-11,192435
2022-06-10,223604
2022-06-09,218425
2022-06-08,213948
2022-06-07,219179
2022-06-06,142003
2022-06-05,146496
2022-06-04,198142
2022-06-03,238045
2022-06-02,237988
2022-06-01,240468
2022-05-31,242719
2022-05-30,236460
2022-05-29,166226
2022-05-28,208627
2022-05-27,243261
2022-05-26,162050
2022-05-25,258030
2022-05-24,246140
2022-05-23,234866
2022-05-22,163772
2022-05-21,217076
2022-05-20,252743
2022-05-19,248532
2022-05-18,251799
2022-05-17,236299
2022-05-16,238778
2022-05-15,175156
2022-05-14,223759
2022-05-13,263200
2022-05-12,257579
2022-05-11,251327
2022-05-10,248991
2022-05-09,239298
2022-05-08,185850
2022-05-07,225296
2022-05-06,257329
2022-05-05,240870
2022-05-04,241813
2022-05-03,247971
2022-05-02,256928
2022-05-01,175139
2022-04-30,224251
2022-04-29,267132
2022-04-28,259931
2022-04-27,241365
2022-04-26,236864
2022-04-25,237919
2022-04-24,157973
2022-04-23,217421
2022-04-22,248649
2022-04-21,241697
2022-04-20,243523
2022-04-19,233619
2022-04-18,149143
2022-04-17,147384
2022-04-16,198174
2022-04-15,150638
2022-04-14,250299
2022-04-13,245632
2022-04-12,252735
2022-04-11,245955
2022-04-10,150587
2022-04-09,206550
2022-04-08,239418
2022-04-07,245338
2022-04-06,238018
2022-04-05,229354
2022-04-04,184203
2022-04-03,143097
2022-04-02,166061
2022-04-01,213044
2022-03-31,233060
2022-03-30,228420
2022-03-29,193975
2022-03-28,113656
2022-03-27,76639
2022-03-27,1885
2022-03-26,104418
2022-03-25,121786
2022-03-24,114415
2022-03-23,129488
2022-03-22,223789
2022-03-21,229717
2022-03-20,155724
2022-03-19,207153
2022-03-18,249046
2022-03-17,243459
2022-03-16,238142
2022-03-15,219977
2022-03-14,227058
2022-03-13,156741
2022-03-12,204532
2022-03-11,241974
2022-03-10,221841
2022-03-09,210902
2022-03-08,208016
2022-03-07,199908
2022-03-06,133383
2022-03-05,181876
2022-03-04,191903
2022-03-03,172794
2022-03-02,221446
2022-03-01,230715
2022-02-28,218309
2022-02-27,149671
2022-02-26,197992
2022-02-25,230904
2022-02-24,214679
2022-02-23,181332
2022-02-22,175103
2022-02-21,167890
2022-02-20,110669
2022-02-19,153566
2022-02-18,186249
2022-02-17,179344
2022-02-16,178745
2022-02-15,177668
2022-02-14,180783
2022-02-13,118585
2022-02-12,158309
2022-02-11,184832
2022-02-10,183105
2022-02-09,181290
2022-02-08,174105
2022-02-07,171698
2022-02-06,104594
2022-02-05,155825
2022-02-04,187375
2022-02-03,184264
2022-02-02,180090
2022-02-01,180175
2022-01-31,180594
2022-01-30,110332
2022-01-29,156180
2022-01-28,180652
2022-01-27,170983
2022-01-26,165142
2022-01-25,169778
2022-01-24,172802
2022-01-23,107417
2022-01-22,149505
2022-01-21,180288
2022-01-20,172520
2022-01-19,171688
2022-01-18,181403
2022-01-17,174544
2022-01-16,98920
2022-01-15,139597
2022-01-14,153778
2022-01-13,174658
2022-01-12,171513
2022-01-11,174395
2022-01-10,174834
2022-01-09,97515
2022-01-08,131116
2022-01-07,154459
2022-01-06,112825
2022-01-05,153761
2022-01-04,152998
2022-01-03,156501
2022-01-02,99610
2022-01-01,90167
2021-12-31,120979
2021-12-30,169400
2021-12-29,157386
2021-12-28,153514
2021-12-27,158400
2021-12-26,93878
2021-12-25,99266
2021-12-24,125942
2021-12-23,168525
2021-12-22,171576
2021-12-21,160202
2021-12-20,187601
2021-12-19,113046
2021-12-18,162649
2021-12-17,208072
2021-12-16,175897
2021-12-15,127364
2021-12-14,141692
2021-12-13,145070
2021-12-12,87112
2021-12-11,122988
2021-12-10,140617
2021-12-09,140504
2021-12-08,133298
2021-12-07,128295
2021-12-06,136924
2021-12-05,89530
2021-12-04,117425
2021-12-03,139340
2021-12-02,141788
2021-12-01,141356
2021-11-30,138333
2021-11-29,133247
2021-11-28,94976
2021-11-27,120371
2021-11-26,143552
2021-11-25,136406
2021-11-24,141081
2021-11-23,136733
2021-11-22,135538
2021-11-21,98796
2021-11-20,132235
2021-11-19,150235
2021-11-18,145781
2021-11-17,142239
2021-11-16,146247
2021-11-15,145379
2021-11-14,98694
2021-11-13,133015
2021-11-12,149691
2021-11-11,150981
2021-11-10,148610
2021-11-09,148648
2021-11-08,149563
2021-11-07,100066
2021-11-06,133795
2021-11-05,156010
2021-11-04,150861
2021-11-03,152169
2021-11-02,151055
2021-11-01,101199
2021-10-31,8883
2021-10-31,105622
2021-10-30,141788
2021-10-29,165567
2021-10-28,159222
2021-10-27,161649
2021-10-26,151498
2021-10-25,142687
2021-10-24,101669
2021-10-23,129438
2021-10-22,147704
2021-10-21,148178
2021-10-20,146673
2021-10-19,147218
2021-10-18,143709
2021-10-17,99651
2021-10-16,134613
2021-10-15,157175
2021-10-14,154512
2021-10-13,151538
2021-10-12,150044
2021-10-11,145352
2021-10-10,110716
2021-10-09,142388
2021-10-08,160777
2021-10-07,154573
2021-10-06,149640
2021-10-05,151540
2021-10-04,90039
2021-10-03,106383
2021-10-02,142125
2021-10-01,147427
2021-09-30,134821
2021-09-29,121934
2021-09-28,143157
2021-09-27,120544
2021-09-26,27828
2021-09-25,35591
2021-09-24,49111
2021-09-23,152217
2021-09-22,141024
2021-09-21,138585
