timestamp,value
29.05.2021,1727
30.05.2021,725
31.05.2021,1273
01.06.2021,2509
02.06.2021,3460
03.06.2021,2416
04.06.2021,3393
05.06.2021,2980
06.06.2021,2320
07.06.2021,3231
08.06.2021,3542
09.06.2021,3607
10.06.2021,3540
11.06.2021,3682
12.06.2021,3429
13.06.2021,2703
14.06.2021,3326
15.06.2021,3602
16.06.2021,3260
17.06.2021,3538
18.06.2021,3879
19.06.2021,3652
20.06.2021,2635
21.06.2021,3763
22.06.2021,3406
23.06.2021,3816
24.06.2021,3679
25.06.2021,3189
26.06.2021,3688
27.06.2021,2758
28.06.2021,3216
29.06.2021,3531
30.06.2021,3482
01.07.2021,3576
02.07.2021,4134
03.07.2021,3728
04.07.2021,2766
05.07.2021,3610
06.07.2021,3555
07.07.2021,3675
08.07.2021,3631
09.07.2021,3755
10.07.2021,3566
11.07.2021,2561
12.07.2021,3440
13.07.2021,3878
14.07.2021,3353
15.07.2021,3454
16.07.2021,3871
17.07.2021,3758
18.07.2021,2653
19.07.2021,3347
20.07.2021,3784
21.07.2021,3588
22.07.2021,3468
23.07.2021,3607
24.07.2021,3287
25.07.2021,2374
26.07.2021,3151
27.07.2021,3221
28.07.2021,3168
29.07.2021,3111
30.07.2021,3439
31.07.2021,3229
01.08.2021,2346
02.08.2021,2954
03.08.2021,2657
04.08.2021,2827
05.08.2021,2804
06.08.2021,3086
07.08.2021,2914
08.08.2021,2255
09.08.2021,2536
10.08.2021,2592
11.08.2021,2866
12.08.2021,2715
13.08.2021,2890
14.08.2021,2853
15.08.2021,2247
16.08.2021,2348
17.08.2021,2734
18.08.2021,2302
19.08.2021,2517
20.08.2021,2824
21.08.2021,2681
22.08.2021,2099
23.08.2021,2682
24.08.2021,2867
25.08.2021,2649
26.08.2021,2741
27.08.2021,2784
28.08.2021,2704
29.08.2021,0
30.08.2021,1250
31.08.2021,1989
01.09.2021,2892
02.09.2021,2972
03.09.2021,3499
04.09.2021,3053
05.09.2021,2310
06.09.2021,3111
07.09.2021,3147
08.09.2021,2948
09.09.2021,3287
10.09.2021,3490
11.09.2021,3047
12.09.2021,2580
13.09.2021,2986
14.09.2021,3188
15.09.2021,3155
16.09.2021,3349
17.09.2021,3314
18.09.2021,3184
19.09.2021,2409
20.09.2021,3056
21.09.2021,2894
22.09.2021,2882
23.09.2021,3615
24.09.2021,296
25.09.2021,0
26.09.2021,0
27.09.2021,2661
28.09.2021,3723
29.09.2021,3625
30.09.2021,3869
01.10.2021,4447
02.10.2021,3977
03.10.2021,2933
04.10.2021,1848
05.10.2021,3554
06.10.2021,3476
07.10.2021,3807
08.10.2021,4206
09.10.2021,3926
10.10.2021,2999
11.10.2021,3426
12.10.2021,3523
13.10.2021,3576
14.10.2021,3876
15.10.2021,4014
16.10.2021,3589
17.10.2021,2770
18.10.2021,3580
19.10.2021,3726
20.10.2021,3669
21.10.2021,3800
22.10.2021,3992
23.10.2021,3571
24.10.2021,2681
25.10.2021,3639
26.10.2021,3578
27.10.2021,3537
28.10.2021,3519
29.10.2021,3851
30.10.2021,3442
31.10.2021,2993
01.11.2021,2704
02.11.2021,3353
03.11.2021,3376
04.11.2021,3665
05.11.2021,3679
06.11.2021,3309
07.11.2021,2584
08.11.2021,3561
09.11.2021,3525
10.11.2021,3439
11.11.2021,3468
12.11.2021,3537
13.11.2021,3629
14.11.2021,2897
15.11.2021,3530
16.11.2021,3342
17.11.2021,3345
18.11.2021,3472
19.11.2021,3572
20.11.2021,3401
21.11.2021,2377
22.11.2021,3268
23.11.2021,3195
24.11.2021,3322
25.11.2021,3333
26.11.2021,3478
27.11.2021,3080
28.11.2021,2415
29.11.2021,3329
30.11.2021,3243
01.12.2021,3260
02.12.2021,3331
03.12.2021,3570
04.12.2021,3283
05.12.2021,2193
06.12.2021,3389
07.12.2021,3394
08.12.2021,3273
09.12.2021,3431
10.12.2021,3608
11.12.2021,3163
12.12.2021,2123
13.12.2021,3260
14.12.2021,3317
15.12.2021,1862
16.12.2021,2895
17.12.2021,3788
18.12.2021,3434
19.12.2021,2233
20.12.2021,3564
21.12.2021,3576
22.12.2021,3823
23.12.2021,3525
24.12.2021,2436
25.12.2021,1823
26.12.2021,2000
27.12.2021,2811
28.12.2021,2906
29.12.2021,2914
30.12.2021,3118
31.12.2021,2526
01.01.2022,1708
02.01.2022,1780
03.01.2022,2830
04.01.2022,2899
05.01.2022,3017
06.01.2022,1842
07.01.2022,3124
08.01.2022,2850
09.01.2022,1968
10.01.2022,3272
11.01.2022,3331
12.01.2022,3290
